区分,薬価基準収載医薬品コード,成分名,規格,,,,品名,メーカー名,診療報酬において加算等の算定対象となる後発医薬品,先発医薬品,同一剤形・規格の後発医薬品がある先発医薬品,薬価,経過措置による使用期限,備考
注射薬,1179401A2022,ヒドロキシジン塩酸塩,５％１ｍＬ１管,,,,アタラックス－Ｐ注射液（５０ｍｇ／ｍｌ）,ファイザー,,,,63,,
注射薬,1179403A1050,スルピリド,１００ｍｇ１管,,,,ドグマチール筋注１００ｍｇ,日医工,,先発品,,129,,
注射薬,1179404A1070,ハロペリドール,０．５％１ｍＬ１管,局,,,セレネース注５ｍｇ,住友ファーマ,,,,130,,
注射薬,1179404A1097,ハロペリドール,０．５％１ｍＬ１管,局,,,ハロペリドール注５ｍｇ「ヨシトミ」,田辺ファーマ,後発品,,,104,,
注射薬,1179406A1037,ハロペリドールデカン酸エステル,５０ｍｇ１ｍＬ１管,,,,ハロマンス注５０ｍｇ,クリニジェン,,先発品,,1407,,
注射薬,1179406A2033,ハロペリドールデカン酸エステル,１００ｍｇ１ｍＬ１管,,,,ハロマンス注１００ｍｇ,クリニジェン,,先発品,,2203,,
注射薬,1179407G1026,リスペリドン,２５ｍｇ１キット（懸濁用液付）,,,,リスパダール　コンスタ筋注用２５ｍｇ,ヤンセンファーマ,,先発品,,12801,,
注射薬,1179407G2022,リスペリドン,３７．５ｍｇ１キット（懸濁用液付）,,,,リスパダール　コンスタ筋注用３７．５ｍｇ,ヤンセンファーマ,,先発品,,16128,,
注射薬,1179407G3029,リスペリドン,５０ｍｇ１キット（懸濁用液付）,,,,リスパダール　コンスタ筋注用５０ｍｇ,ヤンセンファーマ,,先発品,,19079,,
注射薬,1179408E1020,オランザピン,１０ｍｇ１瓶,,,,ジプレキサ筋注用１０ｍｇ,チェプラファーム,,先発品,,1538,,
注射薬,1179409G1025,パリペリドンパルミチン酸エステル,２５ｍｇ１キット,,,,ゼプリオン水懸筋注２５ｍｇシリンジ,ヤンセンファーマ,,先発品,,16939,,
注射薬,1179409G2021,パリペリドンパルミチン酸エステル,５０ｍｇ１キット,,,,ゼプリオン水懸筋注５０ｍｇシリンジ,ヤンセンファーマ,,先発品,,27641,,
注射薬,1179409G3028,パリペリドンパルミチン酸エステル,７５ｍｇ１キット,,,,ゼプリオン水懸筋注７５ｍｇシリンジ,ヤンセンファーマ,,先発品,,36297,,
注射薬,1179409G4024,パリペリドンパルミチン酸エステル,１００ｍｇ１キット,,,,ゼプリオン水懸筋注１００ｍｇシリンジ,ヤンセンファーマ,,先発品,,44031,,
注射薬,1179409G5020,パリペリドンパルミチン酸エステル,１５０ｍｇ１キット,,,,ゼプリオン水懸筋注１５０ｍｇシリンジ,ヤンセンファーマ,,先発品,,56520,,
