販売名,成分名,規格,判定,判定根拠,レビュー理由
グラニセトロン塩酸塩３ｍｇ１００ｍＬキット,グラニセトロン塩酸塩,３ｍｇ１００ｍＬ１袋,×,告示第十第一号のどのカテゴリにも該当せず（院内処方のみ）,UNMATCHED（×判定の妥当性確認）
カイトリル点滴静注バッグ３ｍｇ／１００ｍＬ,グラニセトロン塩酸塩,３ｍｇ１００ｍＬ１袋,×,告示第十第一号のどのカテゴリにも該当せず（院内処方のみ）,UNMATCHED（×判定の妥当性確認）
グラニセトロン点滴静注バッグ３ｍｇ／１００ｍＬ「ＨＫ」,グラニセトロン塩酸塩,３ｍｇ１００ｍＬ１袋,×,告示第十第一号のどのカテゴリにも該当せず（院内処方のみ）,UNMATCHED（×判定の妥当性確認）
グラニセトロン点滴静注バッグ３ｍｇ／１００ｍＬ「ＮＩＧ」,グラニセトロン塩酸塩,３ｍｇ１００ｍＬ１袋,×,告示第十第一号のどのカテゴリにも該当せず（院内処方のみ）,UNMATCHED（×判定の妥当性確認）
グラニセトロン点滴静注バッグ３ｍｇ／１００ｍＬ「タカタ」,グラニセトロン塩酸塩,３ｍｇ１００ｍＬ１袋,×,告示第十第一号のどのカテゴリにも該当せず（院内処方のみ）,UNMATCHED（×判定の妥当性確認）
グラニセトロン塩酸塩３ｍｇ３ｍＬキット,グラニセトロン塩酸塩,３ｍｇ３ｍＬ１筒,×,告示第十第一号のどのカテゴリにも該当せず（院内処方のみ）,UNMATCHED（×判定の妥当性確認）
グラニセトロン塩酸塩１ｍｇ１ｍＬキット,グラニセトロン塩酸塩,１ｍｇ１ｍＬ１筒,×,告示第十第一号のどのカテゴリにも該当せず（院内処方のみ）,UNMATCHED（×判定の妥当性確認）
グラニセトロン塩酸塩３ｍｇ５０ｍＬキット,グラニセトロン塩酸塩,３ｍｇ５０ｍＬ１袋,×,告示第十第一号のどのカテゴリにも該当せず（院内処方のみ）,UNMATCHED（×判定の妥当性確認）
グラニセトロン点滴静注バッグ３ｍｇ／５０ｍＬ「ＨＫ」,グラニセトロン塩酸塩,３ｍｇ５０ｍＬ１袋,×,告示第十第一号のどのカテゴリにも該当せず（院内処方のみ）,UNMATCHED（×判定の妥当性確認）
グラニセトロン点滴静注バッグ３ｍｇ／５０ｍＬ「ＮＩＧ」,グラニセトロン塩酸塩,３ｍｇ５０ｍＬ１袋,×,告示第十第一号のどのカテゴリにも該当せず（院内処方のみ）,UNMATCHED（×判定の妥当性確認）
グラニセトロン塩酸塩１ｍｇ５０ｍＬキット,グラニセトロン塩酸塩,１ｍｇ５０ｍＬ１袋,×,告示第十第一号のどのカテゴリにも該当せず（院内処方のみ）,UNMATCHED（×判定の妥当性確認）
