販売名,成分名,規格,判定,判定根拠,レビュー理由
アクテムラ皮下注１６２ｍｇシリンジ,トシリズマブ（遺伝子組換え）,１６２ｍｇ０．９ｍＬ１筒,○,告示第十第一号 [トシリズマブ製剤] マッチ規則:substring,自動substring一致（要確認）
アクテムラ皮下注１６２ｍｇオートインジェクター,トシリズマブ（遺伝子組換え）,１６２ｍｇ０．９ｍＬ１キット,○,告示第十第一号 [トシリズマブ製剤] マッチ規則:substring,自動substring一致（要確認）
アボネックス筋注用シリンジ３０μｇ,インターフェロンベータ－１ａ（遺伝子組換え）,３０μｇ０．５ｍＬ１筒,○,告示第十第一号 [インターフェロンベータ製剤] マッチ規則:substring,自動substring一致（要確認）
アボネックス筋注３０μｇペン,インターフェロンベータ－１ａ（遺伝子組換え）,３０μｇ０．５ｍＬ１キット,○,告示第十第一号 [インターフェロンベータ製剤] マッチ規則:substring,自動substring一致（要確認）
サイモグロブリン点滴静注用２５ｍｇ,抗ヒト胸腺細胞ウサギ免疫グロブリン,２５ｍｇ１瓶,×,告示第十第一号のどのカテゴリにも該当せず（院内処方のみ）,UNMATCHED（×判定の妥当性確認）
ソリリス点滴静注３００ｍｇ,エクリズマブ（遺伝子組換え）,３００ｍｇ３０ｍＬ１瓶,×,告示第十第一号のどのカテゴリにも該当せず（院内処方のみ）,UNMATCHED（×判定の妥当性確認）
ユルトミリスＨＩ点滴静注３００ｍｇ／３ｍＬ,ラブリズマブ（遺伝子組換え）,３００ｍｇ３ｍＬ１瓶,×,告示第十第一号のどのカテゴリにも該当せず（院内処方のみ）,UNMATCHED（×判定の妥当性確認）
ユルトミリスＨＩ点滴静注１１００ｍｇ／１１ｍＬ,ラブリズマブ（遺伝子組換え）,１，１００ｍｇ１１ｍＬ１瓶,×,告示第十第一号のどのカテゴリにも該当せず（院内処方のみ）,UNMATCHED（×判定の妥当性確認）
エンスプリング皮下注１２０ｍｇシリンジ,サトラリズマブ（遺伝子組換え）,１２０ｍｇ１ｍＬ１筒,○,告示第十第一号 [サトラリズマブ製剤] マッチ規則:substring,自動substring一致（要確認）
ユプリズナ点滴静注１００ｍｇ,イネビリズマブ（遺伝子組換え）,１００ｍｇ１０ｍＬ１瓶,×,告示第十第一号のどのカテゴリにも該当せず（院内処方のみ）,UNMATCHED（×判定の妥当性確認）
ウィフガート点滴静注４００ｍｇ,エフガルチギモド　アルファ（遺伝子組換え）,４００ｍｇ２０ｍＬ１瓶,×,告示第十第一号のどのカテゴリにも該当せず（院内処方のみ）,UNMATCHED（×判定の妥当性確認）
エジャイモ点滴静注１．１ｇ,スチムリマブ（遺伝子組換え）,１．１ｇ２２ｍＬ１瓶,×,告示第十第一号のどのカテゴリにも該当せず（院内処方のみ）,UNMATCHED（×判定の妥当性確認）
リスティーゴ皮下注２８０ｍｇ,ロザノリキシズマブ（遺伝子組換え）,２８０ｍｇ２ｍＬ１瓶,○,告示第十第一号 [ロザノリキシズマブ製剤] マッチ規則:substring,自動substring一致（要確認）
リスティーゴ皮下注４２０ｍｇ,ロザノリキシズマブ（遺伝子組換え）,４２０ｍｇ３ｍＬ１瓶,○,告示第十第一号 [ロザノリキシズマブ製剤] マッチ規則:substring,自動substring一致（要確認）
ピアスカイ注３４０ｍｇ,クロバリマブ（遺伝子組換え）,３４０ｍｇ２ｍＬ１瓶,○,告示第十第一号 [クロバリマブ製剤] マッチ規則:substring,自動substring一致（要確認）
アイマービー点滴静注３００ｍｇ,ニポカリマブ（遺伝子組換え）,３００ｍｇ１．６２ｍＬ１瓶,×,告示第十第一号のどのカテゴリにも該当せず（院内処方のみ）,UNMATCHED（×判定の妥当性確認）
アイマービー点滴静注１２００ｍｇ,ニポカリマブ（遺伝子組換え）,１，２００ｍｇ６．５ｍＬ１瓶,×,告示第十第一号のどのカテゴリにも該当せず（院内処方のみ）,UNMATCHED（×判定の妥当性確認）
トシリズマブＢＳ点滴静注８０ｍｇ「ＣＴ」,トシリズマブ（遺伝子組換え）［トシリズマブ後続１］,８０ｍｇ４ｍＬ１瓶,○,告示第十第一号 [トシリズマブ製剤] マッチ規則:substring,自動substring一致（要確認）
トシリズマブＢＳ点滴静注２００ｍｇ「ＣＴ」,トシリズマブ（遺伝子組換え）［トシリズマブ後続１］,２００ｍｇ１０ｍＬ１瓶,○,告示第十第一号 [トシリズマブ製剤] マッチ規則:substring,自動substring一致（要確認）
トシリズマブＢＳ点滴静注４００ｍｇ「ＣＴ」,トシリズマブ（遺伝子組換え）［トシリズマブ後続１］,４００ｍｇ２０ｍＬ１瓶,○,告示第十第一号 [トシリズマブ製剤] マッチ規則:substring,自動substring一致（要確認）
ヒスタグロビン皮下注用,ヒスタミン加人免疫グロブリン（乾燥）,（人免疫グロブリン１２ｍｇヒスタミン二塩酸塩０．１５μｇ）１瓶（溶解液付）,×,告示第十第一号のどのカテゴリにも該当せず（院内処方のみ）,UNMATCHED（×判定の妥当性確認）
ヒフデュラ配合皮下注,エフガルチギモド　アルファ（遺伝子組換え）・ボルヒアルロニダーゼ　アルファ（遺伝子組換え）,５．６ｍＬ１瓶,×,告示第十第一号のどのカテゴリにも該当せず（院内処方のみ）,UNMATCHED（×判定の妥当性確認）
ヒフデュラ配合皮下注シリンジ,エフガルチギモド　アルファ（遺伝子組換え）・ボルヒアルロニダーゼ　アルファ（遺伝子組換え）,５ｍＬ１筒,×,告示第十第一号のどのカテゴリにも該当せず（院内処方のみ）,UNMATCHED（×判定の妥当性確認）
ベナンバックス注用３００ｍｇ,ペンタミジンイセチオン酸塩,３００ｍｇ１瓶,×,告示第十第一号のどのカテゴリにも該当せず（院内処方のみ）,UNMATCHED（×判定の妥当性確認）
アネメトロ点滴静注液５００ｍｇ,メトロニダゾール,５００ｍｇ１００ｍＬ１瓶,×,告示第十第一号のどのカテゴリにも該当せず（院内処方のみ）,UNMATCHED（×判定の妥当性確認）
バクトラミン注,スルファメトキサゾール・トリメトプリム,５ｍＬ１管,×,告示第十第一号のどのカテゴリにも該当せず（院内処方のみ）,UNMATCHED（×判定の妥当性確認）
注射用水,注射用水,５ｍＬ１管,○,告示第十第一号 [注射用水] マッチ規則:substring ※条件付:本号に掲げる注射薬を投与するに当たりその溶解又は希釈に用いる場合に限る。,自動substring一致（要確認）
注射用水（ニプロ）,注射用水,５ｍＬ１管,○,告示第十第一号 [注射用水] マッチ規則:substring ※条件付:本号に掲げる注射薬を投与するに当たりその溶解又は希釈に用いる場合に限る。,自動substring一致（要確認）
注射用水「フソー」,注射用水,５ｍＬ１管,○,告示第十第一号 [注射用水] マッチ規則:substring ※条件付:本号に掲げる注射薬を投与するに当たりその溶解又は希釈に用いる場合に限る。,自動substring一致（要確認）
注射用水,注射用水,２０ｍＬ１管,○,告示第十第一号 [注射用水] マッチ規則:substring ※条件付:本号に掲げる注射薬を投与するに当たりその溶解又は希釈に用いる場合に限る。,自動substring一致（要確認）
大塚蒸留水,注射用水,２０ｍＬ１管,○,告示第十第一号 [注射用水] マッチ規則:substring ※条件付:本号に掲げる注射薬を投与するに当たりその溶解又は希釈に用いる場合に限る。,自動substring一致（要確認）
注射用水ＰＬ「フソー」,注射用水,２０ｍＬ１管,○,告示第十第一号 [注射用水] マッチ規則:substring ※条件付:本号に掲げる注射薬を投与するに当たりその溶解又は希釈に用いる場合に限る。,自動substring一致（要確認）
注射用水（光）,注射用水,２０ｍＬ１管,○,告示第十第一号 [注射用水] マッチ規則:substring ※条件付:本号に掲げる注射薬を投与するに当たりその溶解又は希釈に用いる場合に限る。,自動substring一致（要確認）
注射用水,注射用水,１００ｍＬ１瓶,○,告示第十第一号 [注射用水] マッチ規則:substring ※条件付:本号に掲げる注射薬を投与するに当たりその溶解又は希釈に用いる場合に限る。,自動substring一致（要確認）
注射用水,注射用水,５００ｍＬ１瓶,○,告示第十第一号 [注射用水] マッチ規則:substring ※条件付:本号に掲げる注射薬を投与するに当たりその溶解又は希釈に用いる場合に限る。,自動substring一致（要確認）
大塚蒸留水,注射用水,５００ｍＬ１瓶,○,告示第十第一号 [注射用水] マッチ規則:substring ※条件付:本号に掲げる注射薬を投与するに当たりその溶解又は希釈に用いる場合に限る。,自動substring一致（要確認）
注射用水（光）,注射用水,５００ｍＬ１瓶,○,告示第十第一号 [注射用水] マッチ規則:substring ※条件付:本号に掲げる注射薬を投与するに当たりその溶解又は希釈に用いる場合に限る。,自動substring一致（要確認）
注射用水,注射用水,１Ｌ１瓶,○,告示第十第一号 [注射用水] マッチ規則:substring ※条件付:本号に掲げる注射薬を投与するに当たりその溶解又は希釈に用いる場合に限る。,自動substring一致（要確認）
大塚蒸留水,注射用水,１Ｌ１瓶,○,告示第十第一号 [注射用水] マッチ規則:substring ※条件付:本号に掲げる注射薬を投与するに当たりその溶解又は希釈に用いる場合に限る。,自動substring一致（要確認）
注射用水（光）,注射用水,１Ｌ１瓶,○,告示第十第一号 [注射用水] マッチ規則:substring ※条件付:本号に掲げる注射薬を投与するに当たりその溶解又は希釈に用いる場合に限る。,自動substring一致（要確認）
注射用水,注射用水,１ｍＬ１管,○,告示第十第一号 [注射用水] マッチ規則:substring ※条件付:本号に掲げる注射薬を投与するに当たりその溶解又は希釈に用いる場合に限る。,自動substring一致（要確認）
注射用水,注射用水,２ｍＬ１管,○,告示第十第一号 [注射用水] マッチ規則:substring ※条件付:本号に掲げる注射薬を投与するに当たりその溶解又は希釈に用いる場合に限る。,自動substring一致（要確認）
注射用水,注射用水,５００ｍＬ１袋,○,告示第十第一号 [注射用水] マッチ規則:substring ※条件付:本号に掲げる注射薬を投与するに当たりその溶解又は希釈に用いる場合に限る。,自動substring一致（要確認）
注射用水,注射用水,１Ｌ１袋,○,告示第十第一号 [注射用水] マッチ規則:substring ※条件付:本号に掲げる注射薬を投与するに当たりその溶解又は希釈に用いる場合に限る。,自動substring一致（要確認）
イオタラム酸ナトリウム注射液,イオタラム酸ナトリウム,６６．８％２０ｍＬ１管,×,告示第十第一号のどのカテゴリにも該当せず（院内処方のみ）,UNMATCHED（×判定の妥当性確認）
イオタラム酸メグルミン注射液,イオタラム酸メグルミン,３０％２２０ｍＬ１瓶,×,告示第十第一号のどのカテゴリにも該当せず（院内処方のみ）,UNMATCHED（×判定の妥当性確認）
イオタラム酸メグルミン注射液,イオタラム酸メグルミン,６０％２０ｍＬ１管,×,告示第十第一号のどのカテゴリにも該当せず（院内処方のみ）,UNMATCHED（×判定の妥当性確認）
イオタラム酸メグルミン注射液,イオタラム酸メグルミン,６０％５０ｍＬ１瓶,×,告示第十第一号のどのカテゴリにも該当せず（院内処方のみ）,UNMATCHED（×判定の妥当性確認）
イオタラム酸メグルミン注射液,イオタラム酸メグルミン,６０％１００ｍＬ１瓶,×,告示第十第一号のどのカテゴリにも該当せず（院内処方のみ）,UNMATCHED（×判定の妥当性確認）
リピオドール４８０注１０ｍＬ,ヨード化ケシ油脂肪酸エチルエステル,１０ｍＬ１管,×,告示第十第一号のどのカテゴリにも該当せず（院内処方のみ）,UNMATCHED（×判定の妥当性確認）
アミドトリゾ酸ナトリウムメグルミン注射液,アミドトリゾ酸ナトリウムメグルミン,６０％２０ｍＬ１管,×,告示第十第一号のどのカテゴリにも該当せず（院内処方のみ）,UNMATCHED（×判定の妥当性確認）
アミドトリゾ酸ナトリウムメグルミン注射液,アミドトリゾ酸ナトリウムメグルミン,６０％１００ｍＬ１瓶,×,告示第十第一号のどのカテゴリにも該当せず（院内処方のみ）,UNMATCHED（×判定の妥当性確認）
アミドトリゾ酸ナトリウムメグルミン注射液,アミドトリゾ酸ナトリウムメグルミン,７６％２０ｍＬ１管,×,告示第十第一号のどのカテゴリにも該当せず（院内処方のみ）,UNMATCHED（×判定の妥当性確認）
ビリスコピン点滴静注５０,イオトロクス酸メグルミン,１０．５５％１００ｍＬ１瓶,×,告示第十第一号のどのカテゴリにも該当せず（院内処方のみ）,UNMATCHED（×判定の妥当性確認）
イオパミロン注３００,イオパミドール,６１．２４％５０ｍＬ１瓶,×,告示第十第一号のどのカテゴリにも該当せず（院内処方のみ）,UNMATCHED（×判定の妥当性確認）
イオパミドール３００注５０ｍＬ「Ｆ」,イオパミドール,６１．２４％５０ｍＬ１瓶,×,告示第十第一号のどのカテゴリにも該当せず（院内処方のみ）,UNMATCHED（×判定の妥当性確認）
イオパミロン注３００,イオパミドール,６１．２４％１００ｍＬ１瓶,×,告示第十第一号のどのカテゴリにも該当せず（院内処方のみ）,UNMATCHED（×判定の妥当性確認）
イオパミドール３００注１００ｍＬ「Ｆ」,イオパミドール,６１．２４％１００ｍＬ１瓶,×,告示第十第一号のどのカテゴリにも該当せず（院内処方のみ）,UNMATCHED（×判定の妥当性確認）
イオパミロン注３７０,イオパミドール,７５．５２％５０ｍＬ１瓶,×,告示第十第一号のどのカテゴリにも該当せず（院内処方のみ）,UNMATCHED（×判定の妥当性確認）
イオパミドール３７０注５０ｍＬ「Ｆ」,イオパミドール,７５．５２％５０ｍＬ１瓶,×,告示第十第一号のどのカテゴリにも該当せず（院内処方のみ）,UNMATCHED（×判定の妥当性確認）
イオパミロン注３７０,イオパミドール,７５．５２％１００ｍＬ１瓶,×,告示第十第一号のどのカテゴリにも該当せず（院内処方のみ）,UNMATCHED（×判定の妥当性確認）
イオパミドール３７０注１００ｍＬ「Ｆ」,イオパミドール,７５．５２％１００ｍＬ１瓶,×,告示第十第一号のどのカテゴリにも該当せず（院内処方のみ）,UNMATCHED（×判定の妥当性確認）
イオパミドール１５０注５０ｍＬ「Ｆ」,イオパミドール,３０．６２％５０ｍＬ１瓶,×,告示第十第一号のどのカテゴリにも該当せず（院内処方のみ）,UNMATCHED（×判定の妥当性確認）
イオパミドール１５０注２００ｍＬ「Ｆ」,イオパミドール,３０．６２％２００ｍＬ１瓶,×,告示第十第一号のどのカテゴリにも該当せず（院内処方のみ）,UNMATCHED（×判定の妥当性確認）
イオパミドール３００注２０ｍＬ「Ｆ」,イオパミドール,６１．２４％２０ｍＬ１瓶,×,告示第十第一号のどのカテゴリにも該当せず（院内処方のみ）,UNMATCHED（×判定の妥当性確認）
イオパミロン注３００シリンジ,イオパミドール,６１．２４％１００ｍＬ１筒,×,告示第十第一号のどのカテゴリにも該当せず（院内処方のみ）,UNMATCHED（×判定の妥当性確認）
イオパミドール３００注シリンジ１００ｍＬ「Ｆ」,イオパミドール,６１．２４％１００ｍＬ１筒,×,告示第十第一号のどのカテゴリにも該当せず（院内処方のみ）,UNMATCHED（×判定の妥当性確認）
イオパミドール３００注シリンジ５０ｍＬ「Ｆ」,イオパミドール,６１．２４％５０ｍＬ１筒,×,告示第十第一号のどのカテゴリにも該当せず（院内処方のみ）,UNMATCHED（×判定の妥当性確認）
イオパミロン注３００シリンジ,イオパミドール,６１．２４％８０ｍＬ１筒,×,告示第十第一号のどのカテゴリにも該当せず（院内処方のみ）,UNMATCHED（×判定の妥当性確認）
イオパミドール３００注シリンジ８０ｍＬ「Ｆ」,イオパミドール,６１．２４％８０ｍＬ１筒,×,告示第十第一号のどのカテゴリにも該当せず（院内処方のみ）,UNMATCHED（×判定の妥当性確認）
イオパミロン注３７０シリンジ,イオパミドール,７５．５２％１００ｍＬ１筒,×,告示第十第一号のどのカテゴリにも該当せず（院内処方のみ）,UNMATCHED（×判定の妥当性確認）
イオパミドール３７０注シリンジ１００ｍＬ「Ｆ」,イオパミドール,７５．５２％１００ｍＬ１筒,×,告示第十第一号のどのカテゴリにも該当せず（院内処方のみ）,UNMATCHED（×判定の妥当性確認）
イオパミロン注３７０シリンジ,イオパミドール,７５．５２％８０ｍＬ１筒,×,告示第十第一号のどのカテゴリにも該当せず（院内処方のみ）,UNMATCHED（×判定の妥当性確認）
イオパミドール３７０注シリンジ８０ｍＬ「Ｆ」,イオパミドール,７５．５２％８０ｍＬ１筒,×,告示第十第一号のどのカテゴリにも該当せず（院内処方のみ）,UNMATCHED（×判定の妥当性確認）
イオパミドール３７０注２０ｍＬ「Ｆ」,イオパミドール,７５．５２％２０ｍＬ１瓶,×,告示第十第一号のどのカテゴリにも該当せず（院内処方のみ）,UNMATCHED（×判定の妥当性確認）
イオパミドール３７０注シリンジ５０ｍＬ「Ｆ」,イオパミドール,７５．５２％５０ｍＬ１筒,×,告示第十第一号のどのカテゴリにも該当せず（院内処方のみ）,UNMATCHED（×判定の妥当性確認）
イオパミドール３００注シリンジ１５０ｍＬ「Ｆ」,イオパミドール,６１．２４％１５０ｍＬ１筒,×,告示第十第一号のどのカテゴリにも該当せず（院内処方のみ）,UNMATCHED（×判定の妥当性確認）
イオパミロン注３００シリンジ,イオパミドール,６１．２４％１５０ｍＬ１筒,×,告示第十第一号のどのカテゴリにも該当せず（院内処方のみ）,UNMATCHED（×判定の妥当性確認）
イオパミドール３７０注シリンジ６５ｍＬ「Ｆ」,イオパミドール,７５．５２％６５ｍＬ１筒,×,告示第十第一号のどのカテゴリにも該当せず（院内処方のみ）,UNMATCHED（×判定の妥当性確認）
イオパミロン注３００シリンジ,イオパミドール,６１．２４％１３０ｍＬ１筒,×,告示第十第一号のどのカテゴリにも該当せず（院内処方のみ）,UNMATCHED（×判定の妥当性確認）
イソビスト注３００,イオトロラン,６４．０８％１０ｍＬ１瓶,×,告示第十第一号のどのカテゴリにも該当せず（院内処方のみ）,UNMATCHED（×判定の妥当性確認）
イソビスト注２４０,イオトロラン,５１．２６％１０ｍＬ１瓶,×,告示第十第一号のどのカテゴリにも該当せず（院内処方のみ）,UNMATCHED（×判定の妥当性確認）
オムニパーク２４０注１０ｍＬ,イオヘキソール,５１．７７％１０ｍＬ１瓶,×,告示第十第一号のどのカテゴリにも該当せず（院内処方のみ）,UNMATCHED（×判定の妥当性確認）
オムニパーク３００注１０ｍＬ,イオヘキソール,６４．７１％１０ｍＬ１瓶,×,告示第十第一号のどのカテゴリにも該当せず（院内処方のみ）,UNMATCHED（×判定の妥当性確認）
オムニパーク３００注２０ｍＬ,イオヘキソール,６４．７１％２０ｍＬ１瓶,×,告示第十第一号のどのカテゴリにも該当せず（院内処方のみ）,UNMATCHED（×判定の妥当性確認）
イオヘキソール３００注２０ｍＬ「Ｆ」,イオヘキソール,６４．７１％２０ｍＬ１瓶,×,告示第十第一号のどのカテゴリにも該当せず（院内処方のみ）,UNMATCHED（×判定の妥当性確認）
オムニパーク２４０注シリンジ１００ｍＬ,イオヘキソール,５１．７７％１００ｍＬ１筒,×,告示第十第一号のどのカテゴリにも該当せず（院内処方のみ）,UNMATCHED（×判定の妥当性確認）
イオヘキソール２４０注シリンジ１００ｍＬ「Ｆ」,イオヘキソール,５１．７７％１００ｍＬ１筒,×,告示第十第一号のどのカテゴリにも該当せず（院内処方のみ）,UNMATCHED（×判定の妥当性確認）
オムニパーク３００注シリンジ５０ｍＬ,イオヘキソール,６４．７１％５０ｍＬ１筒,×,告示第十第一号のどのカテゴリにも該当せず（院内処方のみ）,UNMATCHED（×判定の妥当性確認）
イオヘキソール３００注シリンジ５０ｍＬ「Ｆ」,イオヘキソール,６４．７１％５０ｍＬ１筒,×,告示第十第一号のどのカテゴリにも該当せず（院内処方のみ）,UNMATCHED（×判定の妥当性確認）
オムニパーク３００注シリンジ１００ｍＬ,イオヘキソール,６４．７１％１００ｍＬ１筒,×,告示第十第一号のどのカテゴリにも該当せず（院内処方のみ）,UNMATCHED（×判定の妥当性確認）
イオヘキソール３００注シリンジ１００ｍＬ「Ｆ」,イオヘキソール,６４．７１％１００ｍＬ１筒,×,告示第十第一号のどのカテゴリにも該当せず（院内処方のみ）,UNMATCHED（×判定の妥当性確認）
オムニパーク３００注シリンジ８０ｍＬ,イオヘキソール,６４．７１％８０ｍＬ１筒,×,告示第十第一号のどのカテゴリにも該当せず（院内処方のみ）,UNMATCHED（×判定の妥当性確認）
イオヘキソール３００注シリンジ８０ｍＬ「Ｆ」,イオヘキソール,６４．７１％８０ｍＬ１筒,×,告示第十第一号のどのカテゴリにも該当せず（院内処方のみ）,UNMATCHED（×判定の妥当性確認）
オムニパーク３５０注シリンジ１００ｍＬ,イオヘキソール,７５．４９％１００ｍＬ１筒,×,告示第十第一号のどのカテゴリにも該当せず（院内処方のみ）,UNMATCHED（×判定の妥当性確認）
イオヘキソール３５０注シリンジ１００ｍＬ「Ｆ」,イオヘキソール,７５．４９％１００ｍＬ１筒,×,告示第十第一号のどのカテゴリにも該当せず（院内処方のみ）,UNMATCHED（×判定の妥当性確認）
オムニパーク３００注シリンジ１５０ｍＬ,イオヘキソール,６４．７１％１５０ｍＬ１筒,×,告示第十第一号のどのカテゴリにも該当せず（院内処方のみ）,UNMATCHED（×判定の妥当性確認）
イオヘキソール３００注シリンジ１５０ｍＬ「Ｆ」,イオヘキソール,６４．７１％１５０ｍＬ１筒,×,告示第十第一号のどのカテゴリにも該当せず（院内処方のみ）,UNMATCHED（×判定の妥当性確認）
オムニパーク３００注シリンジ１２５ｍＬ,イオヘキソール,６４．７１％１２５ｍＬ１筒,×,告示第十第一号のどのカテゴリにも該当せず（院内処方のみ）,UNMATCHED（×判定の妥当性確認）
イオヘキソール３００注シリンジ１２５ｍＬ「Ｆ」,イオヘキソール,６４．７１％１２５ｍＬ１筒,×,告示第十第一号のどのカテゴリにも該当せず（院内処方のみ）,UNMATCHED（×判定の妥当性確認）
オムニパーク３５０注シリンジ７０ｍＬ,イオヘキソール,７５．４９％７０ｍＬ１筒,×,告示第十第一号のどのカテゴリにも該当せず（院内処方のみ）,UNMATCHED（×判定の妥当性確認）
イオヘキソール３５０注シリンジ７０ｍＬ「Ｆ」,イオヘキソール,７５．４９％７０ｍＬ１筒,×,告示第十第一号のどのカテゴリにも該当せず（院内処方のみ）,UNMATCHED（×判定の妥当性確認）
オムニパーク３００注シリンジ１１０ｍＬ,イオヘキソール,６４．７１％１１０ｍＬ１筒,×,告示第十第一号のどのカテゴリにも該当せず（院内処方のみ）,UNMATCHED（×判定の妥当性確認）
イオヘキソール３００注シリンジ１１０ｍＬ「Ｆ」,イオヘキソール,６４．７１％１１０ｍＬ１筒,×,告示第十第一号のどのカテゴリにも該当せず（院内処方のみ）,UNMATCHED（×判定の妥当性確認）
オムニパーク３００注５０ｍＬ,イオヘキソール,６４．７１％５０ｍＬ１瓶,×,告示第十第一号のどのカテゴリにも該当せず（院内処方のみ）,UNMATCHED（×判定の妥当性確認）
イオヘキソール３００注５０ｍＬ「Ｆ」,イオヘキソール,６４．７１％５０ｍＬ１瓶,×,告示第十第一号のどのカテゴリにも該当せず（院内処方のみ）,UNMATCHED（×判定の妥当性確認）
オムニパーク３００注１００ｍＬ,イオヘキソール,６４．７１％１００ｍＬ１瓶,×,告示第十第一号のどのカテゴリにも該当せず（院内処方のみ）,UNMATCHED（×判定の妥当性確認）
イオヘキソール３００注１００ｍＬ「Ｆ」,イオヘキソール,６４．７１％１００ｍＬ１瓶,×,告示第十第一号のどのカテゴリにも該当せず（院内処方のみ）,UNMATCHED（×判定の妥当性確認）
オムニパーク３５０注２０ｍＬ,イオヘキソール,７５．４９％２０ｍＬ１瓶,×,告示第十第一号のどのカテゴリにも該当せず（院内処方のみ）,UNMATCHED（×判定の妥当性確認）
イオヘキソール３５０注２０ｍＬ「Ｆ」,イオヘキソール,７５．４９％２０ｍＬ１瓶,×,告示第十第一号のどのカテゴリにも該当せず（院内処方のみ）,UNMATCHED（×判定の妥当性確認）
オムニパーク３５０注５０ｍＬ,イオヘキソール,７５．４９％５０ｍＬ１瓶,×,告示第十第一号のどのカテゴリにも該当せず（院内処方のみ）,UNMATCHED（×判定の妥当性確認）
イオヘキソール３５０注５０ｍＬ「Ｆ」,イオヘキソール,７５．４９％５０ｍＬ１瓶,×,告示第十第一号のどのカテゴリにも該当せず（院内処方のみ）,UNMATCHED（×判定の妥当性確認）
オムニパーク３５０注１００ｍＬ,イオヘキソール,７５．４９％１００ｍＬ１瓶,×,告示第十第一号のどのカテゴリにも該当せず（院内処方のみ）,UNMATCHED（×判定の妥当性確認）
イオヘキソール３５０注１００ｍＬ「Ｆ」,イオヘキソール,７５．４９％１００ｍＬ１瓶,×,告示第十第一号のどのカテゴリにも該当せず（院内処方のみ）,UNMATCHED（×判定の妥当性確認）
オムニパーク３５０注シリンジ４５ｍＬ,イオヘキソール,７５．４９％４５ｍＬ１筒,×,告示第十第一号のどのカテゴリにも該当せず（院内処方のみ）,UNMATCHED（×判定の妥当性確認）
オプチレイ３２０注２０ｍＬ,イオベルソール,６７．８％２０ｍＬ１瓶,×,告示第十第一号のどのカテゴリにも該当せず（院内処方のみ）,UNMATCHED（×判定の妥当性確認）
オプチレイ３２０注５０ｍＬ,イオベルソール,６７．８％５０ｍＬ１瓶,×,告示第十第一号のどのカテゴリにも該当せず（院内処方のみ）,UNMATCHED（×判定の妥当性確認）
オプチレイ２４０注シリンジ１００ｍＬ,イオベルソール,５０．９％１００ｍＬ１筒,×,告示第十第一号のどのカテゴリにも該当せず（院内処方のみ）,UNMATCHED（×判定の妥当性確認）
オプチレイ３２０注シリンジ７５ｍＬ,イオベルソール,６７．８％７５ｍＬ１筒,×,告示第十第一号のどのカテゴリにも該当せず（院内処方のみ）,UNMATCHED（×判定の妥当性確認）
オプチレイ３２０注シリンジ１００ｍＬ,イオベルソール,６７．８％１００ｍＬ１筒,×,告示第十第一号のどのカテゴリにも該当せず（院内処方のみ）,UNMATCHED（×判定の妥当性確認）
オプチレイ３５０注シリンジ１００ｍＬ,イオベルソール,７４．１％１００ｍＬ１筒,×,告示第十第一号のどのカテゴリにも該当せず（院内処方のみ）,UNMATCHED（×判定の妥当性確認）
オプチレイ３２０注１００ｍＬ,イオベルソール,６７．８％１００ｍＬ１瓶,×,告示第十第一号のどのカテゴリにも該当せず（院内処方のみ）,UNMATCHED（×判定の妥当性確認）
オプチレイ３５０注２０ｍＬ,イオベルソール,７４．１％２０ｍＬ１瓶,×,告示第十第一号のどのカテゴリにも該当せず（院内処方のみ）,UNMATCHED（×判定の妥当性確認）
オプチレイ３５０注５０ｍＬ,イオベルソール,７４．１％５０ｍＬ１瓶,×,告示第十第一号のどのカテゴリにも該当せず（院内処方のみ）,UNMATCHED（×判定の妥当性確認）
オプチレイ３５０注１００ｍＬ,イオベルソール,７４．１％１００ｍＬ１瓶,×,告示第十第一号のどのカテゴリにも該当せず（院内処方のみ）,UNMATCHED（×判定の妥当性確認）
オプチレイ３５０注シリンジ１３５ｍＬ,イオベルソール,７４．１％１３５ｍＬ１筒,×,告示第十第一号のどのカテゴリにも該当せず（院内処方のみ）,UNMATCHED（×判定の妥当性確認）
イオメロン３００注２０ｍＬ,イオメプロール,６１．２４％２０ｍＬ１瓶,×,告示第十第一号のどのカテゴリにも該当せず（院内処方のみ）,UNMATCHED（×判定の妥当性確認）
イオメロン３００注５０ｍＬ,イオメプロール,６１．２４％５０ｍＬ１瓶,×,告示第十第一号のどのカテゴリにも該当せず（院内処方のみ）,UNMATCHED（×判定の妥当性確認）
イオメロン３００注１００ｍＬ,イオメプロール,６１．２４％１００ｍＬ１瓶,×,告示第十第一号のどのカテゴリにも該当せず（院内処方のみ）,UNMATCHED（×判定の妥当性確認）
イオメロン３５０注２０ｍＬ,イオメプロール,７１．４４％２０ｍＬ１瓶,×,告示第十第一号のどのカテゴリにも該当せず（院内処方のみ）,UNMATCHED（×判定の妥当性確認）
イオメロン３５０注５０ｍＬ,イオメプロール,７１．４４％５０ｍＬ１瓶,×,告示第十第一号のどのカテゴリにも該当せず（院内処方のみ）,UNMATCHED（×判定の妥当性確認）
イオメロン３５０注１００ｍＬ,イオメプロール,７１．４４％１００ｍＬ１瓶,×,告示第十第一号のどのカテゴリにも該当せず（院内処方のみ）,UNMATCHED（×判定の妥当性確認）
